Zip Code,Population,Avg HHI
44017,18908,71250
44022,16364,169410
44040,2925,213448
44070,32151,76242
44094,36697,84317
44102,44239,39459
44103,16984,32668
44104,22715,26770
44105,37659,40195
44106,26904,55977
44107,51361,67094
44108,22631,42638
44109,39408,45525
44110,18377,33155
44111,39076,53403
44112,21837,39154
