name,status,created,city,lat,lon,members,category_name
The Cleveland Java Meetup Group,active,1236367660000,Cleveland,41.51,-81.64,955,Tech
The Northeast Ohio Coed Pickup Soccer Club,active,1295044866000,Cleveland,41.43,-81.8,950,Sports & Recreation
The Academy,active,1482978416000,Cleveland,41.49,-81.67,935,Lifestyle
One Tank Trips,active,1519573112000,Cleveland,41.38,-81.79,930,Outdoors & Adventure
Cleveland Writers Group,active,1188580407000,Cleveland,41.51,-81.68,913,Writing
Open Cleveland,active,1313550949000,Cleveland,41.48,-81.69,904,Tech
Center For Inquiry Northeast Ohio,active,1161832045000,Stow,41.17,-81.45,891,Religion & Beliefs
Cleveland JavaScripters,active,1439645457000,Cleveland,41.5,-81.67,891,Tech
Cleveland Sahaja Meditation,active,1343517047000,Solon,41.39,-81.44,863,Health & Wellbeing
Akron/Canton Geeks & Nerds,active,1486341003000,Green,40.95,-81.48,862,Sci-Fi & Fantasy
Chillin'  Relaxin'  Happy Hours and more.....,active,1490635037000,Cleveland,41.49,-81.67,862,Socializing
Cleveland Ruby Brigade,active,1191553061000,Cleveland,41.5,-81.64,849,Tech
Akron Canton Real Estate Investing,active,1433425623000,Akron,41.04,-81.52,848,Career & Business
Northcoast Ninety Niners,active,1216002622000,Cleveland,41.51,-81.68,828,Cars & Motorcycles
Hudson Library B.D. Morgan Entrepreneurship Meetup,active,1412678264000,Hudson,41.25,-81.44,826,Career & Business
Crypto Cleveland,active,1488774707000,Cleveland,41.49,-81.67,823,Tech
Cleveland Coed Soccer Meetup,active,1484596339000,Cleveland,41.46,-81.78,759,Sports & Recreation
The Akron Euchre Meetup Group.,active,1276126074000,Akron,41.11,-81.5,756,Games
121 Fitness Running Club,active,1330208542000,Cleveland,41.51,-81.61,746,Fitness
Cleveland Artificial Intelligence Group,active,1503588053000,Cleveland,41.49,-81.67,727,Tech
Cleveland Real Estate Think Tank,active,1473277881000,Cleveland,41.38,-81.79,720,Career & Business
"Mindfulness in Real Life - Stow/Falls, Ohio",active,1474822634000,Cuyahoga Falls,41.14,-81.47,709,Health & Wellbeing
The Cleveland New In Town (or NOT) Meetup Group,active,1037396087000,Cleveland,41.51,-81.61,700,Socializing
Cleveland C#/VB.Net User Group,active,1358545719000,Independence,41.38,-81.66,688,Tech
Lakewood Law of Attraction Mastermind  Meetup,active,1479180825000,Lakewood,41.48,-81.79,671,New Age & Spirituality
Summit County Astronomy Meetup,active,1441390816000,Akron,41.16,-81.64,663,Education & Learning
Ohio Kayak Adventures (OKA),active,1460081006000,Akron,41.08,-81.57,653,Outdoors & Adventure
"Westshore Separated, Divorced and Widowed Social Group",active,1346613789000,North Olmsted,41.42,-81.92,646,Support
Lou & Nina's Modern Line Dancing in Parma Meetup,active,1461189086000,Independence,41.38,-81.66,631,Dancing
Cleveland Real Estate Deal Maker Sessions,active,1505410234000,Cleveland,41.49,-81.67,631,Career & Business
West Creek Conservancy,active,1439323073000,Cleveland,41.39,-81.74,625,Outdoors & Adventure
Greater Cleveland R Group,active,1326743472000,Independence,41.38,-81.66,620,Tech
Poly Cleveland,active,1492807863000,Cleveland,41.49,-81.67,617,Lifestyle
Rubber City Hash House Harriers and Harriettes,active,1433290969000,Akron,41.16,-81.64,616,Fitness
Akron Tabletop Games,active,1261495931000,Akron,41.03,-81.44,614,Games
The West Side Euchre Meetup Group,active,1196725358000,Westlake,41.45,-81.93,612,Games
Ladies Linked,active,1468866999000,North Canton,40.9,-81.43,606,Socializing
Perspectives Book Club,active,1305560841000,Cleveland,41.38,-81.79,556,Book Clubs
Girly Geeks Meetup (Akron/Canton),active,1465171015000,Akron,41.08,-81.58,513,Socializing
Ohio Black Entrepreneurs Network (Cleveland Chapter),active,1442176516000,Cleveland,41.51,-81.64,512,Career & Business
South of I-480 Cleveland Dinner Group,active,1326000767000,Medina,41.13,-81.86,501,Food & Drink
Cleveland Screenwriters Group,active,1457992418000,Cleveland,41.5,-81.55,498,Writing
Canton Software Craftsmanship,active,1310695219000,North Canton,40.9,-81.43,486,Tech
Akron Women In Tech,active,1404394346000,Akron,41.08,-81.52,485,Tech
Greater Cleveland Real Estate Investors Association,active,1442996553000,Independence,41.38,-81.66,479,Career & Business
"Eastside 40's 50's etc. in Willoughby, etc.",active,1310592915000,Willoughby,41.64,-81.42,456,Socializing
